CoastPN,Item,Level,Name,Class,PerUnit,Unit,PartDwg,Rev,ManFSCM
31116,16,4,LEAD,,2,EA,"LW0.020N270-35-C1  PER MIL-STD-1276, 4"",-""",,
31118,17,4,"WIRE, EXTERNAL, SOLID",,1,A/R,"LW0.013N270-35-C1 PER MIL-STD-1276, 4"",-""",,
31119,17,4,"WIRE, EXTERNAL, SOLID",,1,A/R,"LW0.032N270-35-C1 PER MIL-STD-1276, 4"",-""",,
31130,14,4,"WIRE, INSULATED LEAD",003Q,12,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
31149,14,4,"WIRE, INSULATED LEAD",003Q,10,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
31152,8,3,"WIRE, TC (#24AWG)",,4,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",,
31155,20,4,"PINS, TERMINAL",,15,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31156,7,3,YELLOW MYLAR,,1,A/R,16-Mar," P256""",-
31156,8,3,BLACK MYLAR,,1,A/R,16-Mar," No. 1169""",-
31186,20,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31186-2,11,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31187,20,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31187-2,12,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31188,9,4,"PINS, TERMINAL",,8,EA,"#20AWG PER MIL-STD-1276, CUT 3"",-""",W0002,
31189-2,24,2,"CASE, POTTING",,1,EA,1-0259 (Mod: HT=.250," 8 Holes)""",-
31190,20,4,"PINS, TERMINAL",,2,EA,"LW0.040C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31220,13,4,"WIRE, INSULATED LEAD",003Q,12,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
31228,20,4,"PINS, TERMINAL",,2,EA,"LW0.050C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31229,7,4,"WIRE, INSULATED LEAD",003Q,1,A/R,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
31229,10,4,"PINS, TERMINAL",,8,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31233,4,3,"LEADS, 8"," WHITE""",,2,EA,3A018-070V-001,CUR
31234,24,4,"PINS, TERMINAL",,19,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31238,10,2,"PINS, TERMINAL",,4,EA,"LW0.050C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31239,10,2,"PINS, TERMINAL",,4,EA,"LW0.040C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31240,10,2,"PINS, TERMINAL",,4,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31242,7,3,"PIN, TERMINAL",,10,EA,"#20AWG. PER MIL-STD-1276, CUT 3"","",W0002""",,
31354,24,4,"PINS, TERMINAL",,14,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31355,18,3,INSERT,,1,EA,"CBL632-6, 3/16OD"," D=0.030""""",-
31355-1,18,3,INSERT,,1,EA,"CBL632-6, 3/16OD"," D=0.030""""",-
31356,20,4,"PINS, TERMINAL",,10,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31357,18,3,INSERT,,1,EA,"CBL632-6, 3/16OD"," D=0.030""""",-
31357-1,12,2,INSERT,,1,EA,"CB632-6, 3/16OD"," D=0.030""""",-
31359,8,3,BLK LEAD WIRE,,2,EA,14," AWG #26 PER M22759/33-26-0""",CUR
31359,9,3,BRN LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-1""",CUR
31359,10,3,ORG LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-3""",CUR
31359,11,3,YEL LEAD WIRE,,1,EA,6," AWG #26 PER M22759/33-26-4""",CUR
31359,12,3,YEL LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-4""",CUR
31359,14,3,GRN LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-5""",CUR
31359,15,3,BLU LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-6""",CUR
31359,16,3,BLU LEAD WIRE,,1,EA,6," AWG #26 PER M22759/33-26-6""",CUR
31359,17,3,GRY LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-8""",CUR
31359,18,3,VIO LEAD WIRE,,1,EA,6," AWG #26 PER M22759/33-26-7""",CUR
31360,5,3,LEAD WIRE,,1,A/R,"ORG, 16"," AWG #26 PER M22759/33""",CUR
31360,6,3,LEAD WIRE,,1,EA,"BLK, 16"," AWG #26 PER M22759/33""",CUR
31360,7,3,LEAD WIRE,,1,EA,"WHT, 16"," AWG #26 PER M22759/33""",CUR
31360,8,3,LEAD WIRE,,1,EA,"GRY, 16"," AWG #26 PER M22759/33""",CUR
31360,9,3,LEAD WIRE,,1,EA,"VIO, 16"," AWG #26 PER M22759/33""",CUR
31360,10,3,LEAD WIRE,,1,EA,"YEL, 16"," AWG #26 PER M22759/33""",CUR
31361,5,3,RED LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-2""",CUR
31361,6,3,GRN LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-5""",CUR
31363,5,3,RED LEAD WIRE,,1,EA,6," AWG #26 PER M22759/33-26-2""",CUR
31363,6,3,GREY LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-8""",CUR
31365,5,3,BLK LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-0""",CUR
31365,6,3,WHT LEAD WIRE,,1,EA,14," AWG #26 PER M22759/33-26-9""",CUR
31366,5,3,BRN LEAD WIRE,,1,EA,3," AWG #26 PER M22759/33-26-1""",CUR
31366,6,3,WHT LEAD WIRE,,1,EA,16," AWG #26 PER M22759/33-26-9""",CUR
31366,7,3,VIO LEAD WIRE,,1,EA,16," AWG #26 PER M22759/33-26-7""",CUR
31366,8,3,BLU LEAD WIRE,,1,EA,16," AWG #26 PER M22759/33-26-6""",CUR
31366,9,3,YEL LEAD WIRE,,1,EA,3," AWG #26 PER M22759/33-26-4""",CUR
31377,14,4,"WIRE, INSULATED LEAD",003Q,10,EA,"M22759/33-28-9 PER MIL-W-22759, CUT 4"",-""",,
31388,8,4,"PINS, TERMINAL",,2,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31418,20,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31418-2,12,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31418-2A,12,4,"PINS, TERMINAL",,12,EA,"LW0.020C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31421,18,4,"PINS, TERMINAL",,10,EA,"LWO.032C-32-N PER MIL-STD-1276D, CUT 4"",-""",,
31421,26,4,"PINS, TERMINAL",,10,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31423,9,4,"PINS, TERMINAL",,8,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31425,11,4,"PINS, TERMINAL",,15,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31426,7,4,"PINS, TERMINAL",,2,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31427,11,4,"PINS, TERMINAL",,6,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31428,10,4,"PINS, TERMINAL",,6,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31429,9,4,"PINS, TERMINAL",,4,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31430,8,4,"PINS, TERMINAL",,4,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31431,9,4,"PINS, TERMINAL",,10,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31435,8,4,"PINS, TERMINAL",,6,EA,"LWO.040C-32-N PER MIL-STD-1276D,CUT 3"",-""",W0002,
31446,3,3,CORE,,1,EA,"CRL-1097A, Gap = .008"," COATED""",-
31475,24,4,"PINS, TERMINAL",,14,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31476,16,3,LEAD WIRE,,4,EA,"M22759/11-26-9 #26 AWG, TEFLON WIRE 9"","",""",,
31477,6,4,LEAD WIRE,006A,2,EA,"M22759/11-26-9,#26 AWG TEFLON WIRE,CUT8"",-""",,
